,home,homeresult,awayresult,away,homehalftime,awayhalftime
198,Manchester City,2 , 0,Sheffield Utd,0.0,0.0
199,Brighton,1 , 1,Chelsea,0.0,1.0
200,Burnley,1 , 2,Aston Villa,0.0,2.0
201,Newcastle Utd,0 , 3,Leicester City,0.0,2.0
202,Southampton,1 , 0,Tottenham,1.0,0.0
203,Watford,2 , 1,Wolverhampton,1.0,0.0
204,Manchester City,2 , 1,Everton,0.0,0.0
205,Norwich City,1 , 1,Crystal Palace,1.0,0.0
206,West Ham Utd,4 , 0,Bournemouth,3.0,0.0
207,Arsenal,2 , 0,Manchester Utd,1.0,0.0
208,Liverpool,2 , 0,Sheffield Utd,1.0,0.0
